"Code";"Name";"Parent/Code";"Internal Type";"Account Type/Code";"Type for Third Parties";"Reconcile";"Accrual Account";"Expatriates";"National Staff";"Operations";"Support";"Not HQ correctible"
"1321";"Advances on salaries of national staff";"132";"Receivable";"receivables";"None";"True";"False";;;;;"False"
"1322";"Advances on insurance";"132";"Receivable";"receivables";"None";"True";"False";;;;;"False"
"4101";"Advance on salaries and allowances of expatriates";"132";"Receivable";"receivables";"None";"True";"False";;;;;"False"
"4202";"Advance to the staff";"132";"Receivable";"receivables";"Cash Advance";"True";"False";;;;;"False"
"133";"Prepaid expenses";"13";"View";"receivables";"None";"False";"False";;;;;"False"
"1330";"Prepaid expenses rentals";"133";"Receivable";"receivables";"None";"True";"False";;;;;"False"
"1331";"Prepaid expenses insurances";"133";"Receivable";"receivables";"None";"True";"False";;;;;"False"
"1332";"Other prepaid";"133";"Receivable";"receivables";"None";"True";"False";;;;;"False"
"14";"Suspense accounts: ";"1";"View";"cash";"None";"False";"False";;;;;"False"
"140";"Non monetary ";"14";"View";"cash";"None";"False";"False";;;;;"False"
"1400";"Advances to HQ departments";"140";"Receivable";"cash";"None";"True";"False";;;;;"False"
"1401";"Advances or expenses for other missions ";"140";"Receivable";"cash";"None";"True";"False";;;;;"False"
"1402";"Advances and expenses for other MSF section";"140";"Receivable";"cash";"None";"True";"False";;;;;"False"
"1403";"Advances and expenses for other NGO";"140";"Receivable";"cash";"None";"True";"False";;;;;"False"
"1404";"To be re-invoiced to other MSF section";"140";"Receivable";"cash";"None";"True";"False";;;;;"False"
"141";"Monetary Transfers";"14";"View";"cash";"None";"False";"False";;;;;"False"
"1410";"Bank transfer with HQ";"141";"Regular";"cash";"None";"True";"False";;;;;"False"
"1411";"Cash transfer with HQ";"141";"Regular";"cash";"None";"True";"False";;;;;"False"
"1412";"Internal transfer same currency";"141";"Regular";"cash";"Transfer (same currency)";"True";"False";;;;;"False"
"1413";"Internal transfer with currency exchange";"141";"Regular";"cash";"Transfer";"True";"False";;;;;"False"
"1414";"Transfer to another financial mission: Same section";"141";"Regular";"cash";"Transfer (same currency)";"True";"False";;;;;"False"
"1415";"Transfer to another financial mission: Other section";"141";"Regular";"cash";"Transfer (same currency)";"True";"False";;;;;"False"
"1416";"Others";"141";"Regular";"cash";"Transfer (same currency)";"True";"False";;;;;"False"
"15";"Inventories";"1";"View";"asset";"None";"False";"False";;;;;"False"
"150";"Medical goods";"15";"View";"asset";"None";"False";"False";;;;;"False"
"1500";"Medical goods";"150";"Regular";"asset";"None";"False";"False";;;;;"False"
"151";"Non medical goods";"15";"View";"asset";"None";"False";"False";;;;;"False"
"1510";"Non medical goods";"151";"Regular";"asset";"None";"False";"False";;;;;"False"
"152";"Other inventories";"15";"View";"asset";"None";"False";"False";;;;;"False"
"1520";"Other Inventories";"152";"Regular";"asset";"None";"False";"False";;;;;"False"
"153";"Stock Transfers";"15";"View";"asset";"None";"False";"False";;;;;"False"
"1530";"Stock transfers between missions";"153";"Regular";"asset";"None";"False";"False";;;;;"False"
"1531";"Stock transfers between sections";"153";"Regular";"asset";"None";"False";"False";;;;;"False"
"1532";"Stock in transit ";"153";"Regular";"asset";"None";"True";"False";;;;;"False"
"2";"Non current assets";"MSF";"View";"asset";"None";"False";"False";;;;;"False"
"20";"Property, plant and equipement";"2";"View";"asset";"None";"False";"False";;;;;"False"
"200";"Lands";"20";"View";"asset";"None";"False";"False";;;;;"False"
"2000";"Lands";"200";"Regular";"asset";"None";"False";"False";;;;;"False"
"201";"Buildings";"20";"View";"asset";"None";"False";"False";;;;;"False"
"2010";"Buildings";"201";"Regular";"asset";"None";"False";"False";;;;;"False"
"202";"Medical equipments";"20";"View";"asset";"None";"False";"False";;;;;"False"
"2020";"Medical equipments";"202";"Regular";"asset";"None";"False";"False";;;;;"False"
"203";"Non medical equipments";"20";"View";"asset";"None";"False";"False";;;;;"False"
"2030";"Non medical equipments";"203";"Regular";"asset";"None";"False";"False";;;;;"False"
"21";"Accumulated depreciation";"2";"View";"asset";"None";"False";"False";;;;;"False"
"210";"Buildings - accumulated depreciation";"21";"View";"asset";"None";"False";"False";;;;;"False"
"2100";"Buildings - accumulated depreciation";"210";"Regular";"asset";"None";"True";"False";;;;;"False"
"211";"Medical equipments - accumulated depreciation";"21";"View";"asset";"None";"False";"False";;;;;"False"
"2110";"Medical equipments - accumulated depreciation";"211";"Regular";"asset";"None";"True";"False";;;;;"False"
"212";"Non medical equipments - accumulated depreciation";"21";"View";"asset";"None";"False";"False";;;;;"False"
"2120";"Non medical equipments - accumulated depreciation";"212";"Regular";"asset";"None";"True";"False";;;;;"False"
"22";"Intangibles assets";"2";"View";"asset";"None";"False";"False";;;;;"False"
"220";"Softwares - trademarks and licences";"22";"View";"asset";"None";"False";"False";;;;;"False"
"2200";"Softwares - trademarks and licences";"220";"Regular";"asset";"None";"False";"False";;;;;"False"
"23";"Accumulated depreciation on intangibles assets ";"2";"View";"asset";"None";"False";"False";;;;;"False"
"230";"Softwares - trademarks and licence  - accumulated depreciation";"23";"View";"asset";"None";"False";"False";;;;;"False"
"2300";"Softwares - trademarks and licence - accumulated depreciation";"230";"Regular";"asset";"None";"True";"False";;;;;"False"
"24";"Long term investments";"2";"View";"asset";"None";"False";"False";;;;;"False"
"240";"Guarantees & deposits: Greater than 1 year";"24";"View";"asset";"None";"False";"False";;;;;"False"
"2400";"Guarantees & deposits: Greater than 1 year";"240";"Regular";"asset";"None";"False";"False";;;;;"False"
"25";"Other non-current assets";"2";"View";"asset";"None";"False";"False";;;;;"False"
"250";"Other non-current assets";"25";"View";"asset";"None";"False";"False";;;;;"False"
"2500";"Other non-current assets";"250";"Regular";"asset";"None";"False";"False";;;;;"False"
"3";"Current Liabilities";"MSF";"View";"payables";"None";"False";"False";;;;;"False"
"30";"Accounts payable";"3";"View";"payables";"None";"False";"False";;;;;"False"
"300";"Payables";"30";"View";"payables";"None";"False";"False";;;;;"False"
"3000";"Trade payables";"300";"Payable";"payables";"None";"True";1;;;;;"False"
"3001";"Check - suspense account";"300";"Liquidity";"cash";"None";"True";"False";;;;;"False"
"301";"Personel related accounts";"30";"View";"payables";"None";"False";"False";;;;;"False"
"3010";"Remuneration payable";"301";"Payable";"payables";"None";"True";1;;;;;"False"
"3011";"expatriates payables - OCA only";"301";"Payable";"payables";"None";"True";1;;;;;"False"
"302";"Social security ";"30";"View";"payables";"None";"False";"False";;;;;"False"
"3020";"Social security";"302";"Payable";"payables";"None";"True";1;;;;;"False"
"303";"State and other public authority related accounts";"30";"View";"payables";"None";"False";"False";;;;;"False"
"3030";"VAT payable";"303";"Regular";"tax";"None";"True";"False";;;;;"False"
"3031";"Payroll taxes / PAYE payable";"303";"Payable";"payables";"None";"True";1;;;;;"False"
"3032";"Other Taxes";"303";"Payable";"payables";"None";"True";1;;;;;"False"
"31";"Accrued liabilities";"3";"View";"payables";"None";"False";"False";;;;;"False"
"310";"Employee costs";"31";"View";"payables";"None";"False";"False";;;;;"False"
"3100";"Accrued salaries payable ";"310";"Payable";"payables";"None";"True";1;;;;;"False"
"3101";"Accrued 13th month payable";"310";"Payable";"payables";"None";"True";1;;;;;"False"
"3102";"Accrued holiday pay - leave days payement";"310";"Payable";"payables";"None";"True";1;;;;;"False"
"3103";"Accrued severance pay - employees benefits ";"310";"Payable";"payables";"None";"True";1;;;;;"False"
"3104";"Other accrued employee costs";"310";"Payable";"payables";"None";"True";1;;;;;"False"
"311";"Accrued Payroll taxes";"31";"View";"payables";"None";"False";"False";;;;;"False"
"3110";"Accrued Payroll taxes";"311";"Payable";"payables";"None";"True";1;;;;;"False"
"312";"Accrued social security ";"31";"View";"payables";"None";"False";"False";;;;;"False"
"3120";"Accrued social security ";"312";"Payable";"payables";"None";"True";1;;;;;"False"
"313";"Other accrued liabilities ";"31";"View";"payables";"None";"False";"False";;;;;"False"
"3130";"Other accrued liabilities ";"313";"Payable";"payables";"None";"True";1;;;;;"False"
"32";"Short term provisions";"3";"View";"debt";"None";"False";"False";;;;;"False"
"320";"Provisions";"32";"View";"debt";"None";"False";"False";;;;;"False"
"3200";"Provisions";"320";"Regular";"debt";"None";"True";"False";;;;;"False"
"33";"Other current liabilities";"3";"View";"debt";"None";"False";"False";;;;;"False"
"330";"Other current liabilities";"33";"View";"debt";"None";"False";"False";;;;;"False"
"3300";"Other current liabilities";"330";"Regular";"debt";"None";"True";"False";;;;;"False"
"4";"Non-current Liabilities";"MSF";"View";"debt";"None";"False";"False";;;;;"False"
"40";"Non current amounts payable ";"4";"View";"debt";"None";"False";"False";;;;;"False"
"400";"Non current amounts payable ";"40";"View";"debt";"None";"False";"False";;;;;"False"
"4000";"Non current amounts payable ";"400";"Regular";"debt";"None";"False";"False";;;;;"False"
"41";"Long term provisions ";"4";"View";"debt";"None";"False";"False";;;;;"False"
"410";"Long term provisions ";"41";"View";"debt";"None";"False";"False";;;;;"False"
"4100";"Long term provisions";"410";"Regular";"debt";"None";"False";"False";;;;;"False"
"5";"Reserves";"MSF";"View";"equity";"None";"False";"False";;;;;"False"
"50";"Surplus / Deficit carried forward";"5";"View";"equity";"None";"False";"False";;;;;"False"
"500";"Surplus carried forward";"50";"View";"equity";"None";"False";"False";;;;;"False"
"5000";"Surplus carried forward";"500";"Regular";"equity";"None";"True";"False";;;;;"False"
"510";"Deficit carried forward";"50";"View";"equity";"None";"False";"False";;;;;"False"
"5100";"Deficit carried forward";"510";"Regular";"equity";"None";"True";"False";;;;;"False"
"6";"Expenses";"MSF";"View";"view";"None";"False";"False";;;;;"False"
"61";"Expatriate staff";"6";"View";"view";"None";"False";"False";;;;;"False"
"6100";"Per diem";"61";"Regular";"expense";"None";"False";"False";"DEFAULT";;;;"False"
"6101";"Team living expenses";"61";"Regular";"expense";"None";"False";"False";"DEFAULT";;;;"False"
"6102";"Medical expenses / repatriation costs";"61";"Regular";"expense";"None";"False";"False";"DEFAULT";;;;"False"
"6103";"Expat training costs, school fees, etc..";"61";"Regular";"expense";"None";"False";"False";"DEFAULT";;;;"False"
"6111";"Expat housing : rent & running costs";"61";"Regular";"expense";"None";"False";"False";"DEFAULT";;;;"False"
"6112";"Expat housing : equipment & furniture";"61";"Regular";"expense";"None";"False";"False";"DEFAULT";;;;"False"
"6115";"Expat housing : construction & rehabilitation";"61";"Regular";"expense";"None";"False";"False";"DEFAULT";;;;"False"
"61200";"Expat Salary";"61";"Regular";"expense";"None";"False";"False";"DEFAULT";;;;"True"
"6124";"Daily tariff (IRP) HQ ONLY";"61";"Regular";"expense";"None";"False";"False";"DEFAULT";;;;"True"
"6140";"Expat transport & visa costs (HQ / mission)";"61";"Regular";"expense";"None";"False";"False";"DEFAULT";;;;"False"
"6141";"Expat posting tariff (HQ ONLY)";"61";"Regular";"expense";"None";"False";"False";"DEFAULT";;;;"True"
"62";"National staff";"6";"View";"view";"None";"False";"False";;;;;"False"
"6210";"Domestic staff salaries / charges";"62";"Regular";"expense";"None";"False";"False";;"DEFAULT";;;"False"
"6220";"Administrative staff salaries / charges";"62";"Regular";"expense";"None";"False";"False";;"DEFAULT";;;"False"
"6230";"Medical staff salaries / charges";"62";"Regular";"expense";"None";"False";"False";;"DEFAULT";;;"False"
"6240";"Logistics and sanitation staff salaries / charges";"62";"Regular";"expense";"None";"False";"False";;"DEFAULT";;;"False"
"6250";"Drivers and mechanics staff salaries / charges";"62";"Regular";"expense";"None";"False";"False";;"DEFAULT";;;"False"
"6260";"Non MSF staff salaries & incentives";"62";"Regular";"expense";"None";"False";"False";;"DEFAULT";;;"False"
"6270";"Daily workers";"62";"Regular";"expense";"None";"False";"False";;"DEFAULT";;;"False"
"6280";"National staff : medical expenses";"62";"Regular";"expense";"None";"False";"False";;"DEFAULT";;;"False"
"6285";"National staff : training costs";"62";"Regular";"expense";"None";"False";"False";;"DEFAULT";;;"False"
"6295";"National staff : housing costs";"62";"Regular";"expense";"None";"False";"False";;"DEFAULT";;;"False"
"63";"Office costs";"6";"View";"view";"None";"False";"False";;;;;"False"
"6301";"Office: stationery & small supplies";"63";"Regular";"expense";"None";"False";"False";;;;"DEFAULT";"False"
"6302";"Communication equipment";"63";"Regular";"expense";"None";"False";"False";;;;"DEFAULT";"False"
"6303";"Office : furniture, IT, energy equipment";"63";"Regular";"expense";"None";"False";"False";;;;"DEFAULT";"False"
"6304";"Maintenance office equipment & hardware";"63";"Regular";"expense";"None";"False";"False";;;;"DEFAULT";"False"
"6311";"Office : rent & running costs";"63";"Regular";"expense";"None";"False";"False";;;;"DEFAULT";"False"
"6312";"Taxes";"63";"Regular";"expense";"None";"False";"False";;;;"DEFAULT";"False"
"6315";"Office : construction & rehabilitation";"63";"Regular";"expense";"None";"False";"False";;;;"DEFAULT";"False"
"6320";"Telephone & communication costs";"63";"Regular";"expense";"None";"False";"False";;;;"DEFAULT";"False"
"6321";"Bank fees";"63";"Regular";"expense";"None";"False";"False";;;;"DEFAULT";"False"
"6330";"Printing and documentation";"63";"Regular";"expense";"None";"False";"False";;;;"DEFAULT";"False"
"6331";"Identification materials";"63";"Regular";"expense";"None";"False";"False";;;;"DEFAULT";"False"
"6340";"Internal & external representation costs";"63";"Regular";"expense";"None";"False";"False";;;;"DEFAULT";"False"
"64";"Medical";"6";"View";"view";"None";"False";"False";;;;;"False"
"6400";"Medicines";"64";"Regular";"expense";"None";"False";"False";;;"DEFAULT";1;"False"
"6401";"Medical kits";"64";"Regular";"expense";"None";"False";"False";;;"DEFAULT";1;"False"
"6412";"Cold chain material & equipment";"64";"Regular";"expense";"None";"False";"False";;;"DEFAULT";1;"False"
"6420";"Vaccines & vaccination material";"64";"Regular";"expense";"None";"False";"False";;;"DEFAULT";1;"False"
"6430";"Food : non-specialized";"64";"Regular";"expense";"None";"False";"False";;;"DEFAULT";1;"False"
"6431";"Food : specialized (therapeutic)";"64";"Regular";"expense";"None";"False";"False";;;"DEFAULT";1;"False"
"6440";"Misc. costs for patients (food, hotel, transport)";"64";"Regular";"expense";"None";"False";"False";;;"DEFAULT";1;"False"
"6441";"External specialist consultations, tests & references";"64";"Regular";"expense";"None";"False";"False";;;"DEFAULT";1;"False"
"6450";"Health facilities : rent & running costs";"64";"Regular";"expense";"None";"False";"False";;;"DEFAULT";1;"False"
"6451";"Health facilities : non-medical equipment/furniture";"64";"Regular";"expense";"None";"False";"False";;;"DEFAULT";1;"False"
"6460";"Medical small material";"64";"Regular";"expense";"None";"False";"False";;;"DEFAULT";1;"False"
"6461";"Medical equipment";"64";"Regular";"expense";"None";"False";"False";;;"DEFAULT";1;"False"
"6470";"Lab small material & reagents";"64";"Regular";"expense";"None";"False";"False";;;"DEFAULT";1;"False"
"6471";"Lab equipment";"64";"Regular";"expense";"None";"False";"False";;;"DEFAULT";1;"False"
"6480";"Medical & nutrition - cost of destruction";"64";"Regular";"expense";"None";"False";"False";;;"DEFAULT";1;"False"
"65";"Construction, Water, Sanitation";"6";"View";"view";"None";"False";"False";;;;;"False"
"6500";"Logistic kits ";"65";"Regular";"expense";"None";"False";"False";1;1;"DEFAULT";1;"False"
"6510";"Construction & rehabilitation material";"65";"Regular";"expense";"None";"False";"False";1;1;"DEFAULT";1;"False"
"6511";"Construction equipment & tools";"65";"Regular";"expense";"None";"False";"False";1;1;"DEFAULT";1;"False"
"6520";"Water/sanitation material and product";"65";"Regular";"expense";"None";"False";"False";1;1;"DEFAULT";1;"False"
"6521";"Water/sanitation equipment";"65";"Regular";"expense";"None";"False";"False";1;1;"DEFAULT";1;"False"
"6530";"Energy equipment";"65";"Regular";"expense";"None";"False";"False";1;1;"DEFAULT";1;"False"
"6540";"Logistics material";"65";"Regular";"expense";"None";"False";"False";1;1;"DEFAULT";1;"False"
"6550";"Non-food relief items for distributions";"65";"Regular";"expense";"None";"False";"False";1;1;"DEFAULT";1;"False"
"6551";"Temporary structures";"65";"Regular";"expense";"None";"False";"False";1;1;"DEFAULT";1;"False"
"6560";"Fuel (excluding vehicles)";"65";"Regular";"expense";"None";"False";"False";1;1;"DEFAULT";1;"False"
"6570";"Subcontracted building work";"65";"Regular";"expense";"None";"False";"False";1;1;"DEFAULT";1;"False"
"66";"External training & local support costs";"6";"View";"view";"None";"False";"False";;;;;"False"
"6620";"Training sessions (non MSF staff)";"66";"Regular";"expense";"None";"False";"False";;;"DEFAULT";1;"False"
"6630";"Gifts and subsidies from MSF";"66";"Regular";"expense";"None";"False";"False";1;1;"DEFAULT";1;"False"
"6640";"Advocacy and external communication";"66";"Regular";"expense";"None";"False";"False";;;"DEFAULT";1;"False"
"67";"Transport Freight, Storage";"6";"View";"view";"None";"False";"False";;;;;"False"
"6700";"Vehicle purchase";"67";"Regular";"expense";"None";"False";"False";1;1;"DEFAULT";1;"False"
"6701";"Insurance & taxes vehicles";"67";"Regular";"expense";"None";"False";"False";1;1;"DEFAULT";1;"False"
"6710";"Car and small vehicle rental";"67";"Regular";"expense";"None";"False";"False";1;1;"DEFAULT";1;"False"
"6711";"Truck rental ";"67";"Regular";"expense";"None";"False";"False";1;1;"DEFAULT";1;"False"
"6712";"Plane rental";"67";"Regular";"expense";"None";"False";"False";1;1;"DEFAULT";1;"False"
"6713";"Other transport rentals";"67";"Regular";"expense";"None";"False";"False";1;1;"DEFAULT";1;"False"
"6720";"Vehicles repair, maintenance, spare parts";"67";"Regular";"expense";"None";"False";"False";1;1;"DEFAULT";1;"False"
"6722";"Fuel for vehicles and transport facilities";"67";"Regular";"expense";"None";"False";"False";1;1;"DEFAULT";1;"False"
"6730";"International freight - by AIR";"67";"Regular";"expense";"None";"False";"False";1;1;"DEFAULT";1;"False"
"6731";"International freight - by SEA/ROAD";"67";"Regular";"expense";"None";"False";"False";1;1;"DEFAULT";1;"False"
"6732";"Local customs & clearance costs";"67";"Regular";"expense";"None";"False";"False";1;1;"DEFAULT";1;"False"
"6740";"Local transport cost MSF staff";"67";"Regular";"expense";"None";"False";"False";1;1;"DEFAULT";1;"False"
"6750";"Garage rent & maintenance";"67";"Regular";"expense";"None";"False";"False";1;1;"DEFAULT";1;"False"
"6751";"Warehouse rent & maintenance";"67";"Regular";"expense";"None";"False";"False";1;1;"DEFAULT";1;"False"
"68";"Consultant & field support";"6";"View";"view";"None";"False";"False";;;;;"False"
"6800";"Medical survey, consultant & specialist costs";"68";"Regular";"expense";"None";"False";"False";1;1;"DEFAULT";1;"False"
"6801";"Non-medical survey, consultant & specialist costs";"68";"Regular";"expense";"None";"False";"False";1;1;"DEFAULT";1;"False"
"6810";"Expertise fee (non-medical)";"68";"Regular";"expense";"None";"False";"False";1;1;"DEFAULT";1;"False"
"6811";"Audits";"68";"Regular";"expense";"None";"False";"False";1;1;"DEFAULT";1;"False"
"6820";"HQstaff salary charged to the field HQ ONLY";"68";"Regular";"expense";"None";"False";"False";1;1;"DEFAULT";1;"False"
"6821";"Transport and expenses for headquarters staff";"68";"Regular";"expense";"None";"False";"False";1;1;"DEFAULT";1;"False"
"69";"Miscellaneous";"6";"View";"view";"None";"False";"False";;;;;"False"
"6920";"Cash difference";"69";"Regular";"expense";"None";"False";"False";;;;"DEFAULT";"False"
"6930";"Theft";"69";"Regular";"expense";"None";"False";"False";;;;"DEFAULT";"False"
"6931";"Lost/bad debts";"69";"Regular";"expense";"None";"False";"False";;;;"DEFAULT";"False"
"6935";"Litigation";"69";"Regular";"expense";"None";"False";"False";;;;"DEFAULT";"False"
"6940";"Currency exchange difference HQ ONLY";"69";"Regular";"expense";"None";"False";"False";;;;"DEFAULT";"False"
"7";"Income";"MSF";"View";"view";"None";"False";"False";;;;;"False"
"7101";"Exceptional income";"7";"Regular";"income";"None";"False";"False";;;;;"False"
"7103";"Financial interest";"7";"Regular";"income";"None";"False";"False";;;;;"False"
8;"Off Balance sheet suspense accounts";"MSF";"View";"view";"None";"False";"False";;;;;"False"
80;"Stock variation";8;"View";"view";"None";"False";"False";;;;;"False"
8000;"Stock variation";80;"Regular";"payables";"Donation";"False";"False";;;;;"False"
81;"Donations received";8;"View";"view";"None";"False";"False";;;;;"False"
8100;"Donations received";81;"Regular";"payables";"Donation";"False";"False";;;;;"False"
9;"Off-balance sheet items";"MSF";"View";"view";"None";"False";"False";;;;;"False"
90;"Inventories";9;"View";"view";"None";"False";"False";;;;;"False"
900;"Medical goods";90;"View";"view";"None";"False";"False";;;;;"False"
9000;"Medical goods";900;"Regular";"expense (no p&l)";"Donation";"False";"False";;;"DEFAULT";;"False"
901;"Non medical goods";90;"View";"view";"None";"False";"False";;;;;"False"
9010;"Non medical goods";901;"Regular";"expense (no p&l)";"Donation";"False";"False";;;"DEFAULT";;"False"
902;"Other inventories";90;"View";"view";"None";"False";"False";;;;;"False"
9020;"Other Inventories";902;"Regular";"expense (no p&l)";"Donation";"False";"False";;;"DEFAULT";;"False"
903;"Stock Transfers";90;"View";"view";"None";"False";"False";;;;;"False"
9030;"Stock in transit ";903;"Regular";"expense (no p&l)";"Donation";"False";"False";;;"DEFAULT";;"False"
91;"In-Kind donations";9;"View";"view";"None";"False";"False";;;;;"False"
910;"In-kind Donations of Medical items";91;"View";"view";"None";"False";"False";;;;;"False"
9100;"In-kind Donations of medical items";910;"Regular";"expense (no p&l)";"Donation";"False";"False";;;"DEFAULT";;"False"
920;"In-kind Donations of non Medical items";91;"View";"view";"None";"False";"False";;;;;"False"
9200;"In-kind Donations of non therapeutic food";920;"Regular";"expense (no p&l)";"Donation";"False";"False";;;"DEFAULT";;"False"
9201;"In-kind Donations of relief material";920;"Regular";"expense (no p&l)";"Donation";"False";"False";;;"DEFAULT";;"False"
9202;"In-kind Donations of logistics material";920;"Regular";"expense (no p&l)";"Donation";"False";"False";;;"DEFAULT";;"False"
